Metric,Value
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,23.125834
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,67
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,67
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79975
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00025416
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00024522
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000610147
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.00024522
design_powergrid__voltage__worst,0.00024522
design_powergrid__voltage__worst__net:vccd1,1.79975
design_powergrid__drop__worst,0.00025416
design_powergrid__drop__worst__net:vccd1,0.00025416
design_powergrid__voltage__worst__net:vssd1,0.00024522
design_powergrid__drop__worst__net:vssd1,0.00024522
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000592999999999999980577168601225679367416887544095516204833984375
ir__drop__worst,0.000253999999999999994011734560928061910090036690235137939453125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
